sexo,edad,weights,educ,perc,type
mujer,47,713736,lic_non_law,0.92,just_lic
mujer,48,722090,lic_law,0.1,just_lic
mujer,48,722090,lic_non_law,0.9,just_lic
mujer,49,643035,lic_law,0.08,just_lic
mujer,49,643035,lic_non_law,0.92,just_lic
mujer,50,662279,lic_law,0.091,just_lic
mujer,50,662279,lic_non_law,0.909,just_lic
mujer,51,630290,lic_law,0.062,just_lic
mujer,51,630290,lic_non_law,0.938,just_lic
mujer,52,602778,lic_law,0.068,just_lic
mujer,52,602778,lic_non_law,0.932,just_lic
mujer,53,580680,lic_law,0.096,just_lic
mujer,53,580680,lic_non_law,0.904,just_lic
mujer,54,509345,lic_law,0.066,just_lic
mujer,54,509345,lic_non_law,0.934,just_lic
mujer,55,532132,lic_law,0.07,just_lic
mujer,55,532132,lic_non_law,0.93,just_lic
mujer,56,552325,lic_law,0.073,just_lic
mujer,56,552325,lic_non_law,0.927,just_lic
mujer,57,503229,lic_law,0.033,just_lic
mujer,57,503229,lic_non_law,0.967,just_lic
mujer,58,455726,lic_law,0.067,just_lic
mujer,58,455726,lic_non_law,0.933,just_lic
mujer,59,449797,lic_law,0.048,just_lic
mujer,59,449797,lic_non_law,0.952,just_lic
mujer,60,474897,lic_law,0.048,just_lic
mujer,60,474897,lic_non_law,0.952,just_lic
mujer,61,393082,lic_law,0.051,just_lic
mujer,61,393082,lic_non_law,0.949,just_lic
mujer,62,342882,lic_law,0.071,just_lic
mujer,62,342882,lic_non_law,0.929,just_lic
mujer,63,282279,lic_law,0.062,just_lic
mujer,63,282279,lic_non_law,0.938,just_lic
mujer,64,271203,lic_law,0.084,just_lic
mujer,64,271203,lic_non_law,0.916,just_lic
mujer,65,239849,lic_law,0.06,just_lic
mujer,65,239849,lic_non_law,0.94,just_lic
mujer,66,205494,lic_law,0.041,just_lic
mujer,66,205494,lic_non_law,0.959,just_lic
mujer,67,180944,lic_law,0.065,just_lic
mujer,67,180944,lic_non_law,0.935,just_lic
mujer,68,144156,lic_law,0.075,just_lic
mujer,68,144156,lic_non_law,0.925,just_lic
mujer,69,174030,lic_law,0.068,just_lic
mujer,69,174030,lic_non_law,0.932,just_lic
mujer,70,135585,lic_law,0.037,just_lic
mujer,70,135585,lic_non_law,0.963,just_lic
mujer,71,108315,lic_law,0.043,just_lic
mujer,71,108315,lic_non_law,0.957,just_lic
mujer,72,87673,lic_law,0.03,just_lic
mujer,72,87673,lic_non_law,0.97,just_lic
mujer,73,68338,lic_law,0.062,just_lic
mujer,73,68338,lic_non_law,0.938,just_lic
mujer,74,80696,lic_law,0.07,just_lic
mujer,74,80696,lic_non_law,0.93,just_lic
mujer,75,68790,lic_law,0.028,just_lic
mujer,75,68790,lic_non_law,0.972,just_lic
mujer,76,54962,lic_law,0.05,just_lic
mujer,76,54962,lic_non_law,0.95,just_lic
mujer,77,41631,lic_law,0.056,just_lic
mujer,77,41631,lic_non_law,0.944,just_lic
mujer,78,26617,lic_law,0.006,just_lic
mujer,78,26617,lic_non_law,0.994,just_lic
mujer,79,26708,lic_law,0.03,just_lic
mujer,79,26708,lic_non_law,0.97,just_lic
mujer,80,30964,lic_law,0.007,just_lic
mujer,80,30964,lic_non_law,0.993,just_lic
mujer,81,23315,lic_law,0,just_lic
mujer,81,23315,lic_non_law,1,just_lic
mujer,82,19073,lic_law,0.013,just_lic
mujer,82,19073,lic_non_law,0.987,just_lic
mujer,83,8425,lic_law,0.024,just_lic
mujer,83,8425,lic_non_law,0.976,just_lic
mujer,84,9754,lic_law,0.025,just_lic
mujer,84,9754,lic_non_law,0.975,just_lic
mujer,85,7264,lic_law,0,just_lic
mujer,85,7264,lic_non_law,1,just_lic
mujer,86,6922,lic_law,0,just_lic
mujer,86,6922,lic_non_law,1,just_lic
mujer,87,5655,lic_law,0.015,just_lic
mujer,87,5655,lic_non_law,0.985,just_lic
mujer,88,4729,lic_law,0.026,just_lic
mujer,88,4729,lic_non_law,0.974,just_lic
mujer,89,6515,lic_law,0,just_lic
mujer,89,6515,lic_non_law,1,just_lic
mujer,90,3306,lic_law,0.032,just_lic
mujer,90,3306,lic_non_law,0.968,just_lic
mujer,91,1171,lic_law,0.155,just_lic
mujer,91,1171,lic_non_law,0.845,just_lic
mujer,92,985,lic_law,0,just_lic
mujer,92,985,lic_non_law,1,just_lic
mujer,93,296,lic_law,0,just_lic
mujer,93,296,lic_non_law,1,just_lic
mujer,94,2970,lic_law,0,just_lic
mujer,94,2970,lic_non_law,1,just_lic
mujer,95,381,lic_law,0,just_lic
mujer,95,381,lic_non_law,1,just_lic
mujer,96,950,lic_law,0,just_lic
mujer,96,950,lic_non_law,1,just_lic
mujer,97,1149,lic_law,0.081,just_lic
mujer,97,1149,lic_non_law,0.919,just_lic
hombre,21,5131554,lic_law,0.02,all
hombre,21,5131554,lic_non_law,0.294,all
hombre,21,5131554,no_lic,0.686,all
hombre,22,5137145,lic_law,0.024,all
hombre,22,5137145,lic_non_law,0.313,all
hombre,22,5137145,no_lic,0.663,all
hombre,23,5118521,lic_law,0.024,all
hombre,23,5118521,lic_non_law,0.312,all
hombre,23,5118521,no_lic,0.664,all
hombre,24,4732963,lic_law,0.026,all
hombre,24,4732963,lic_non_law,0.328,all
hombre,24,4732963,no_lic,0.646,all
hombre,25,4671337,lic_law,0.028,all
hombre,25,4671337,lic_non_law,0.318,all
