group,ingocup,weights,income_perc,median
Mujeres abogadas,10200,52,0,11900
Mujeres abogadas,10400,366,0.1,11900
Mujeres abogadas,10500,142,0,11900
Mujeres abogadas,10600,219,0.1,11900
Mujeres abogadas,10750,2314,0.6,11900
Mujeres abogadas,10800,53,0,11900
Mujeres abogadas,10900,828,0.2,11900
Mujeres abogadas,11000,3626,1,11900
Mujeres abogadas,11200,24,0,11900
Mujeres abogadas,11250,196,0.1,11900
Mujeres abogadas,11500,147,0,11900
Mujeres abogadas,11600,145,0,11900
Mujeres abogadas,11800,659,0.2,11900
Mujeres abogadas,12000,32193,9,11900
Mujeres abogadas,12040,614,0.2,11900
Mujeres abogadas,12300,737,0.2,11900
Mujeres abogadas,12400,740,0.2,11900
Mujeres abogadas,12600,356,0.1,11900
Mujeres abogadas,12800,850,0.2,11900
Mujeres abogadas,12900,6122,1.7,11900
Mujeres abogadas,13000,3395,1,11900
Mujeres abogadas,13400,155,0,11900
Mujeres abogadas,13600,420,0.1,11900
Mujeres abogadas,13800,42,0,11900
Mujeres abogadas,13975,320,0.1,11900
Mujeres abogadas,14000,19297,5.4,11900
Mujeres abogadas,14800,402,0.1,11900
Mujeres abogadas,15000,12582,3.5,11900
Mujeres abogadas,15050,316,0.1,11900
Mujeres abogadas,15400,53,0,11900
Mujeres abogadas,15600,552,0.2,11900
Mujeres abogadas,16000,17474,4.9,11900
Mujeres abogadas,16140,123,0,11900
Mujeres abogadas,16400,66,0,11900
Mujeres abogadas,17000,1882,0.5,11900
Mujeres abogadas,17200,2943,0.8,11900
Mujeres abogadas,17300,157,0,11900
Mujeres abogadas,18000,7470,2.1,11900
Mujeres abogadas,18200,153,0,11900
Mujeres abogadas,18800,231,0.1,11900
Mujeres abogadas,19000,932,0.3,11900
Mujeres abogadas,19200,506,0.1,11900
Mujeres abogadas,19350,337,0.1,11900
Mujeres abogadas,19460,250,0.1,11900
Mujeres abogadas,19500,164,0,11900
Mujeres abogadas,19600,135,0,11900
Mujeres abogadas,20000,30948,8.7,11900
Mujeres abogadas,20400,191,0.1,11900
Mujeres abogadas,20500,86,0,11900
Mujeres abogadas,21000,508,0.1,11900
Mujeres abogadas,21120,69,0,11900
Mujeres abogadas,21500,1719,0.5,11900
Mujeres abogadas,22000,4507,1.3,11900
Mujeres abogadas,23000,72,0,11900
Mujeres abogadas,23650,122,0,11900
Mujeres abogadas,24000,7398,2.1,11900
Mujeres abogadas,25000,4205,1.2,11900
Mujeres abogadas,25800,2285,0.6,11900
Mujeres abogadas,26000,5304,1.5,11900
Mujeres abogadas,27000,306,0.1,11900
