cuidados_thrs,cuidados_thrs_hombres,fac,ingocup,min_year_enoe,max_year_enoe
23,3.745542032267195,1203,8000,2018,2023
3,7.1658536585365855,94,14000,2018,2023
9,1.668421052631579,127,9000,2018,2023
40,13.793103448275861,123,6400,2018,2023
33,9.574074074074074,77,10000,2018,2023
54,34,79,25000,2018,2023
17,4.454545454545454,98,7000,2018,2023
4,NA,135,50000,2018,2023
24,8.110726643598616,91,30000,2018,2023
21,NA,136,15000,2018,2023
0,3.4138559708295353,562,17200,2018,2023
6,13,372,8000,2018,2023
38,17,135,25800,2018,2023
8,7.623978201634878,129,15000,2018,2023
10,0,109,8000,2018,2023
9,3.234782608695652,93,8000,2018,2023
44,9.185185185185185,62,12000,2018,2023
35,6.198952879581152,60,15000,2018,2023
8,6.5528455284552845,68,16000,2018,2023
37,12.828125,70,21000,2018,2023
21,NA,54,3870,2018,2023
0,10.333333333333334,61,7000,2018,2023
21,26.870967741935484,56,3750,2018,2023
48,45,123,16140,2018,2023
45,34,68,16000,2018,2023
4,11,48,18000,2018,2023
28,2,33,20000,2018,2023
17,4,65,12000,2018,2023
98,28,51,18000,2018,2023
0,0,142,7000,2018,2023
15,0,182,9000,2018,2023
53,19.679775280898877,189,10000,2018,2023
7,29.975824175824176,402,14000,2018,2023
5,10,73,10000,2018,2023
23,3,61,10000,2018,2023
21,0,88,5590,2018,2023
9,13.686046511627907,83,8000,2018,2023
19,6.6770186335403725,107,24000,2018,2023
5,6,76,5000,2018,2023
47,8.5,55,6000,2018,2023
22,0,65,11000,2018,2023
27,12.418555240793202,387,8000,2018,2023
15,6.119047619047619,148,8000,2018,2023
9,4.6113074204946995,338,8000,2018,2023
14,12.306397306397306,206,20000,2018,2023
53,6.766519823788546,190,15000,2018,2023
44,NA,308,10000,2018,2023
11,8,132,10000,2018,2023
28,NA,261,7310,2018,2023
18,36,250,20000,2018,2023
12,4.8368678629690045,196,10000,2018,2023
3,5.50896860986547,173,14000,2018,2023
44,9.672955974842766,233,7600,2018,2023
16,9.333333333333334,193,10600,2018,2023
45,7.062717770034843,139,10000,2018,2023
5,2,190,25000,2018,2023
21,6,218,12000,2018,2023
10,2,218,18000,2018,2023
20,5,164,14000,2018,2023
33,6,179,2320,2018,2023
55,NA,114,11000,2018,2023
8,3,244,10000,2018,2023
15,NA,261,12000,2018,2023
2,3.6666666666666665,149,4000,2018,2023
76,NA,182,5000,2018,2023
16,17.24878048780488,137,10000,2018,2023
0,0,185,10000,2018,2023
5,0,171,12000,2018,2023
3,3,219,25000,2018,2023
0,3,219,25000,2018,2023
17,3,228,28000,2018,2023
102,NA,113,3000,2018,2023
14,3,160,60000,2018,2023
24,NA,519,12000,2018,2023
29,25,614,52000,2018,2023
42,7,383,16000,2018,2023
41,NA,119,10000,2018,2023
10,0,111,30000,2018,2023
5,12,117,21500,2018,2023
8,16,142,12000,2018,2023
30,2.930957683741648,160,40000,2018,2023
32,7.863468634686347,117,32000,2018,2023
37,44,615,7000,2018,2023
42,NA,71,21500,2018,2023
29,8.128440366972477,58,6000,2018,2023
34,13.410714285714286,58,6400,2018,2023
40,NA,62,10000,2018,2023
48,4,68,40000,2018,2023
20,7.042016806722689,62,4000,2018,2023
10,2.784561403508772,383,3000,2018,2023
21,8,346,8000,2018,2023
37,7,491,14000,2018,2023
18,9.03976801988401,397,8000,2018,2023
67,31.42222222222222,184,15000,2018,2023
6,NA,132,20000,2018,2023
9,13,198,2250,2018,2023
113,12,143,12900,2018,2023
13,9.090638930163447,204,52000,2018,2023
24,3.584817518248175,701,12000,2018,2023
7,7.666666666666667,343,21500,2018,2023
14,14,85,7000,2018,2023
7,11.890625,112,12000,2018,2023
15,7.817427385892116,95,6000,2018,2023
2,3.3098591549295775,143,7000,2018,2023
24,18.246268656716417,167,7000,2018,2023
23,5,127,12000,2018,2023
49,22.193979933110366,111,8600,2018,2023
26,NA,122,4000,2018,2023
75,5,136,5000,2018,2023
3,3.05,117,4000,2018,2023
33,5.179591836734694,156,16000,2018,2023
35,5.179591836734694,156,4000,2018,2023
32,13.064516129032258,252,8600,2018,2023
18,7.5,165,12000,2018,2023
